Entry Date,Exit Date,Trade Type,Entry Price Stock 1,Entry Price Stock 2,Exit Price Stock 1,Exit Price Stock 2,Profit/loss,Cumulative P&L,Equity
4/10/2025,4/22/2025,Short,72.65000153,336.3180542,68.66999817,339.2386169,-137.6770551,-137.6770551,862.3229449
4/25/2025,5/7/2025,Short,77.91000366,396.1555176,86.44999695,430.7741699,90.4986181,-47.17843704,952.821563
5/14/2025,5/22/2025,Long,98.22000122,466.0108032,92.55999756,461.2055664,285.2359322,238.0574952,1238.057495
5/30/2025,6/3/2025,Short,86.63999939,477.1598206,94.5,495.6683044,394.8299676,632.8874628,1632.887463
7/9/2025,7/25/2025,Long,106.2799988,533.8227539,114.2799988,687.1987305,29.19136911,662.0788319,1662.078832
7/28/2025,8/19/2025,Short,117.5500031,691.4193115,132.7799988,682.8858643,425.9033513,1087.982183,2087.982183
9/16/2025,9/26/2025,Short,142.1600037,775.9934082,142.5,803.131958,-29.55936775,1058.422815,2058.422815
10/9/2025,10/17/2025,Long,158.2299957,833.4256592,143.1000061,826.6559448,587.2770643,1645.69988,2645.69988
10/23/2025,10/31/2025,Long,152.7599945,823.7404785,157.6900024,964.105835,113.7282967,1759.428176,2759.428176
11/6/2025,11/25/2025,Short,134.0200043,956.3178101,125.0400009,956.168396,-469.203362,1290.224814,2290.224814
12/18/2025,1/5/2026,Long,124.6200027,917.7034302,137.1900024,1031.369873,-290.5503234,999.674491,1999.674491
1/13/2026,1/27/2026,Short,129.9299927,1072.162598,146.6900024,1159.32312,313.8202639,1313.494755,2313.494755
2/10/2026,3/3/2026,Short,143.4499969,1268.473755,124.5999985,1389.893066,-959.1880235,354.3067314,1354.306731
3/9/2026,3/11/2026,Long,137.1699982,1371.862427,138.2299957,1406.768677,97.7384632,452.0451946,1452.045195
3/23/2026,3/26/2026,Long,135.8800049,1407.698364,122.5500031,1358.127808,-757.8911819,-305.8459873,694.1540127
3/27/2026,4/2/2026,Long,120.7699966,1366.234619,126.6800003,1416.634766,200.5364753,-105.309512,894.690488
